index,address,token_1,token_0,fee
114,0xff96D42dc8E2700ABAb1f1F82Ecf699caA1a2056,UNI,WETH,5
115,0xC24f7d8E51A64dc1238880BD00bb961D54cbeb29,UNI,WETH,30
116,0x929fcf81102c5577243Ee614c2c455ACd6681F1A,UNI,WETH,100
117,0x6f38e884725a116C9C7fBF208e79FE8828a2595F,USDC,WETH,1
118,0xC6962004f452bE9203591991D15f6b388e09E8D0,USDC,WETH,5
119,0xc473e2aEE3441BF9240Be85eb122aBB059A3B57c,USDC,WETH,30
120,0x42FC852A750BA93D5bf772ecdc857e87a86403a9,USDC,WETH,100
121,0xE754841B77C874135caCA3386676e886459c2d61,USDC.E,WETH,1
122,0xC31E54c7a869B9FcBEcc14363CF510d1c41fa443,USDC.E,WETH,5
123,0x17c14D2c404D167802b16C450d3c99F88F2c4F4d,USDC.E,WETH,30
124,0x7e5E4a3F855f19cC1a45b9eFF1c8B2419036CE85,USDC.E,WETH,100
125,0x42161084d0672e1d3F26a9B53E653bE2084ff19C,USDT,WETH,1
126,0x641C00A822e8b671738d32a431a4Fb6074E5c79d,USDT,WETH,5
127,0xc82819F72A9e77E2c0c3A69B3196478f44303cf4,USDT,WETH,30
128,0x58039203442C9F2A45D5536bd021a383C7f3035C,USDT,WETH,100
129,0xbEdFF6Ed023029a44Ab8515376813724e09707cD,WETH,WAMPL,30
130,0x03a3bE7Ab4aa263D42d63B6CC594F4fb3D3F3951,WETH,WBTC,1
131,0x2f5e87C9312fa29aed5c179E456625D79015299c,WETH,WBTC,5
132,0x149e36E72726e0BceA5c59d40df2c43F60f5A22D,WETH,WBTC,30
133,0x99dFc0126ED31E0169fc32dB6B89adF9FeE9a77e,WETH,WBTC,100
134,0x7367E796C517F3098e8E6Cd283A58D3cE3f109aD,YFI,WETH,30
135,0x6bd22849Fb65D1E4B1F7d8C72E42e55861e1aD7D,YFI,WETH,100
136,0xB83e48e8389a2584F135b92eBdCd580824fa7b21,WETH,RDNT,1
137,0xffcC52A041f443D336B07c6532debd67dE442582,WETH,RDNT,5
138,0x446BF9748B4eA044dd759d9B9311C70491dF8F29,WETH,RDNT,30
139,0xA8BA5F3cCfB8d2B7f4225E371Cde11871E088933,WETH,RDNT,100
140,0x3a427cFf84917fB3449b4059632459921EA23403,WETH,MAGIC,1
141,0xF44f17A6Fc5D2f0Ad1FF47e682570fa5A8eb9050,WETH,MAGIC,5
142,0x59D72DDB29Da32847A4665d08ffc8464A7185FAE,WETH,MAGIC,30
143,0x7e7FB3CCEcA5F2ac952eDF221fd2a9f62E411980,WETH,MAGIC,100
144,0xD43287703Db1d98F4F8F4F9ab97CFD59d509fb50,WETH,PENDLE,1
145,0xB08a8794A5D3cCCA3725D92964696858d3201909,WETH,PENDLE,5
146,0xdbaeB7f0DFe3a0AAFD798CCECB5b22E708f7852c,WETH,PENDLE,30
147,0xe8629b6A488F366D27DAd801D1b5B445199e2Ada,WETH,PENDLE,100
148,0xEB5c46a004Dbd8b6c9cEae8ee8e95D6F417cCd82,AGEUR,WETH,30
149,0x1957e16b0a534C1994E7ef48044CB9376A30E674,AGEUR,WETH,100
150,0x33946ebb43Ab295d0595f7d6E70748e468e4AC8d,WETH,GNS,1
